Platform,Time,Author,Title,Description,URL
Google News,2025-08-25 14:07:07,Victoria Song,AI doesn’t belong in journaling,"In July 2023, I deleted the Day One journaling app from my phone and laptop. It was perhaps the best thing I've done as a lifelong diarist. The decision was prompted by Apple announcing its Journal app at WWDC that year. In that keynote, Apple said it would u…",https://www.theverge.com/analysis/764519/ai-gemini-pixel-journal-app
Google News,2025-08-13 01:46:04,Jay Peters,Hidden Door is an AI storytelling game that actually makes sense,"Years before ChatGPT jump-started the generative AI wave, OpenAI technology powered a game called AI Dungeon 2 that essentially let you improvise an open-ended, anything-goes story with an AI narrator. Hidden Door, a new platform that's now in early access, a…",https://www.theverge.com/games/757816/hidden-door-early-access-ai-story
Google News,2025-08-20 10:00:00,Zoë Schiffer,AI Isn’t Coming for Hollywood. It Has Already Arrived,An early winner in the generative AI wars was near collapse—then bet everything on a star-studded comeback. Can Stability AI beat the competition?,https://www.wired.com/story/artificial-intelligence-hollywood-stability/
Google News,2025-08-27 12:36:43,"Lily Hay Newman, Matt Burgess",The Era of AI-Generated Ransomware Has Arrived,"Cybercriminals are increasingly using generative AI tools to fuel their attacks, with new research finding instances of AI being used to develop ransomware.",https://www.wired.com/story/the-era-of-ai-generated-ransomware-has-arrived/
Google News,2025-07-31 13:16:34,WIRED Staff,Join Us for WIRED’s AI Power Summit,"On September 15, WIRED is gathering a panel of leaders across technology, politics, and media to tell you everything you need to know about the future of generative AI.",https://www.wired.com/story/wired-ai-power-summit/
Google News,2025-08-18 10:00:00,Charley Locke,What Do Kids Actually Think About AI?,"Parents, teachers, and experts have big opinions about the impacts of AI on young people and education. But what do the students themselves say?",https://www.wired.com/story/what-kids-think-about-ai-schools/
Google News,2025-08-26 07:00:00,Will Knight,AI Is Eliminating Jobs for Younger Workers,New research from Stanford provides the clearest available evidence that AI is reshaping the workforce—but it’s complicated.,https://www.wired.com/story/stanford-research-ai-replace-jobs-young-workers/
Google News,2025-08-01 11:00:00,Jason Parham,Confessions of a Recovering AI Porn Addict,A “gooner” tells WIRED he became hooked on the cartoonish nature of AI porn. Several addictions experts say the genre could pose a problem for people prone to compulsive sexual behavior.,https://www.wired.com/story/confessions-of-a-recovering-ai-porn-addict/
Google News,2025-08-08 18:30:47,Emma Roth,How Wikipedia is fighting AI slop content,"With the rise of AI writing tools, Wikipedia editors have had to deal with an onslaught of AI-generated content filled with false information and phony citations. Already, the community of Wikipedia volunteers has mobilized to fight back against AI slop, some…",https://www.theverge.com/report/756810/wikipedia-ai-slop-policies-community-speedy-deletion
Google News,2025-08-07 14:04:06,Jess Weatherbed,Truth Social’s new AI search engine basically just pushes Fox News,"Donald Trump’s Truth Social has launched a new AI search feature that consistently pushes conservative media sources. The feature, Truth Search AI, is powered by the AI startup Perlexity and is now available on the web version of Trump’s social media platform…",https://www.theverge.com/news/753863/trump-truth-social-ai-search-perplexity-conservative-bias
Google News,2025-08-26 20:38:55,Emma Roth,Anthropic settles AI book piracy lawsuit,"Anthropic has settled a class action lawsuit with a group of US authors who accused the AI startup of copyright infringement. In a legal filing on Tuesday, Anthropic says it has negotiated a “proposed class settlement,” allowing it to skip a trial that would …",https://www.theverge.com/news/766311/anthropic-class-action-ai-piracy-authors-settlement
Google News,2025-08-13 14:48:13,Hayden Field,Some doctors got worse at detecting cancer after relying on AI,We’ve heard about upskilling and re-skilling due to AI — but how about de-skilling? A new study published this week found that doctors who frequently use AI to detect cancer in one medical procedure got significantly worse at doing so. The researchers set out…,https://www.theverge.com/ai-artificial-intelligence/758672/some-doctors-got-worse-at-detecting-cancer-after-relying-on-ai
Google News,2025-08-10 14:53:02,Victoria Song,We found stuff AI is pretty good at,"Tech companies keep telling everyone that this or that AI feature is going to change everything. But when you press them for examples, real, concrete examples of how those AI tools should be used, the answers tend to be lackluster. Sometimes AI tools feel so …",https://www.theverge.com/podcast/756701/ai-tools-chatgpt-gemini-vergecast
Google News,2025-08-20 16:42:56,Julian Chokkattu,The Fitbit App Is Turning Into an AI-Powered Personal Health Coach,"Built with Gemini, Google’s AI health coach will be everything but a doctor.",https://www.wired.com/story/fitbit-app-ai-personal-health-coach/
Google News,2025-08-06 18:00:00,Will Knight,Inside the Biden Administration’s Unpublished Report on AI Safety,The US government conducted a groundbreaking study on frontier models—and never published the results.,https://www.wired.com/story/inside-the-biden-administrations-unpublished-report-on-ai-safety/
Google News,2025-08-07 20:50:47,Luc Olinga,The End of Bullshit AI,"OpenAI's new GPT-5 has learned to say three magic words: ""I don't know."" It was also trained to stop flattering you and start giving you facts.",https://gizmodo.com/the-end-of-bullshit-ai-2000640302
Google News,2025-08-18 14:13:37,Emma Roth,Claude AI will end ‘persistently harmful or abusive user interactions’,"Anthropic’s Claude AI chatbot can now end conversations deemed “persistently harmful or abusive,” as spotted earlier by TechCrunch. The capability is now available in Opus 4 and 4.1 models, and will allow the chatbot to end conversations as a “last resort” af…",https://www.theverge.com/news/760561/anthropic-claude-ai-chatbot-end-harmful-conversations
Google News,2025-08-14 17:10:21,Jay Peters,Meta’s AI policies let chatbots get romantic with minors,"In an internal policy document, Meta included policies that allowed its AI chatbots to flirt and speak with children using romantic language, according to a report from Reuters. Quotes from the document highlighted by Reuters include letting Meta’s AI chatbo…",https://www.theverge.com/news/759562/meta-ai-rules-chatbots-romantic-minors
Google News,2025-07-29 13:52:43,Jay Peters,Yelp is creating its own AI videos about restaurants,"Yelp is going to use AI to stitch together user-posted content about restaurants, food, and nightlife businesses to make short videos about those businesses. The company initially started testing the AI-stitched videos last year, but they’re now available nat…",https://www.theverge.com/news/714944/yelp-ai-stitched-videos
Google News,2025-08-14 13:40:44,Emma Roth,"HTC is getting in on AI glasses, too","With Meta, Google, Samsung, and maybe even Apple working on AI-powered glasses, smart spectacles are quickly becoming the hottest gadget in tech. Now, even HTC is jumping in on the trend with a new pair of Vive Eagle smart glasses that come with built-in spea…",https://www.theverge.com/news/759221/htc-vive-eagle-ai-smart-glasses
Google News,2025-07-29 16:41:54,Jay Peters,Google’s NotebookLM can now make narrated slideshows with AI,"Google’s NotebookLM is getting a new Video Overviews feature that uses AI to create slideshows with narration. The feature is rolling out now in English, and Google says that support for “more languages” is coming soon. “You can think of these as a visual alt…",https://www.theverge.com/news/715283/google-notebooklm-video-overviews-studio-ai
Google News,2025-08-26 20:14:09,Tina Nguyen,"AI super PACs, the hottest investment in tech","Hello and welcome to Regulator, a newsletter about the collision between Big Tech and Washington (last week of summer edition). If you enjoy this, consider subscribing to get this newsletter weekly and everything The Verge has to offer. Ever since the US Supr…",https://www.theverge.com/regulator-newsletter/766105/ai-super-pac-tech-investments
Google News,2025-08-15 13:35:22,Emma Roth,"Sam Altman says ‘yes,’ AI is in a bubble","As economists speculate whether the stock market is in an AI bubble that could soon burst, OpenAI CEO Sam Altman has just admitted to believing we're in one. ""Are we in a phase where investors as a whole are overexcited about AI?"" Altman said during a lengthy…",https://www.theverge.com/ai-artificial-intelligence/759965/sam-altman-openai-ai-bubble-interview
Google News,2025-08-07 21:30:34,Emma Roth,The Browser Company’s AI browser now has a $20 subscription,"The Browser Company — the makers of the Arc browser — just launched a $20 per month subscription to its new AI-powered web browser, Dia, as reported earlier by TechCrunch. The new Dia Pro subscription comes with unlimited access to the browser’s chat feature,…",https://www.theverge.com/news/756427/browser-company-dia-pro-ai-pricing
Google News,2025-08-06 17:31:47,Emma Roth,Google swears it isn’t destroying the web with AI search,"Google says its AI search features aren’t tanking website traffic despite recent reports suggesting otherwise. In a blog post published on Wednesday, Google Search head Liz Reid says click volume from the search engine has remained “relatively stable” when co…",https://www.theverge.com/news/720069/google-ai-overviews-search-web-traffic-stable
Google News,2025-07-29 15:35:15,Emma Roth,Google’s AI Mode update adds even more tools for students,"Google is bringing a bunch of new features to AI Mode, and is positioning the update as a way to help students study for tests or dig deeper into what they’re learning. Today, the company announced that it will now let users upload images to AI Mode on deskto…",https://www.theverge.com/news/715218/google-ai-mode-image-upload-canvas-update-students
Google News,2025-07-31 14:03:44,Alex Heath,Why AI researchers are getting paid like NBA All-Stars,"Hello, and welcome to Decoder! This is Alex Heath, your Thursday episode guest host and deputy editor at The Verge. Today, I’m joined by Hayden Field, The Verge’s senior AI reporter. We’re talking about the AI talent wars and why some researchers are suddenly…",https://www.theverge.com/decoder-podcast-with-nilay-patel/716633/ai-talent-war-meta-mark-zuckerberg-openai-nba-all-stars
Google News,2025-07-31 00:18:31,Alex Heath,Meta is playing the AI game with house money,"Mark Zuckerberg’s AI hiring spree is costing a lot of money. His investors don’t care. Meta’s stock price shot up over 10 percent on Wednesday after the company reported better-than-expected earnings. Revenue generated in the second quarter was $47.5 billion,…",https://www.theverge.com/news/716523/meta-q2-earnings-superintelligence-ai-mark-zzuckerberg
Google News,2025-08-19 18:28:52,Emma Roth,Meta’s AI translation tool can dub your Instagram videos,"Meta is bringing its AI translation tool to more users on Facebook and Instagram, which automatically dubs your reels into another language. The feature also uses AI to make its dub match up with the sound of your voice and the movement of your mouth. For now…",https://www.theverge.com/news/761665/meta-ai-translation-facebook-instagram-reels
Google News,2025-08-20 12:25:55,Allison Johnson,The newest Pixels put generative AI right inside the camera,"At The Verge, we like to ask ""What is a photo?"" when we're trying to sort out real and unreal images - especially those taken with phone cameras. But I think there's another question that we'll want to add to the mix starting right now: what is a camera? With…",https://www.theverge.com/hands-on/761817/google-pixel-10-pro-res-zoom-ai
Google News,2025-08-04 19:36:56,Emma Roth,ChatGPT will ‘better detect’ mental distress after reports of it feeding people’s delusions,"OpenAI, which is expected to launch its GPT-5 AI model this week, is making updates to ChatGPT that it says will improve the AI chatbot’s ability to detect mental or emotional distress. To do this, OpenAI is working with experts and advisory groups to improve…",https://www.theverge.com/news/718407/openai-chatgpt-mental-health-guardrails-break-reminders
Google News,2025-08-20 16:03:04,Emma Roth,Google Pixel 10 launch event: the 8 biggest announcements,"Google has just announced a bunch of shiny new devices to look at and AI features to yell about. As part of its Made by Google event, the company revealed an upgraded Pixel 10 lineup, a bubblier smartwatch with a brighter screen, and a ton of AI updates that …",https://www.theverge.com/news/762150/google-pixel-10-launch-event-announcements
Google News,2025-08-01 14:36:21,Andrew Liszewski,The $299 Halo smart glasses will remember the names of people you meet,"Startup Brilliant Labs has announced a successor to its $349 open-source Frame smart glasses, which debuted early last year with features like AI-powered translations and the ability to identify what you were looking at. Its new $299 Halo smart glasses are pr…",https://www.theverge.com/news/717387/brilliant-labs-halo-smart-glasses-noa-ai
Google News,2025-08-13 19:41:23,Jay Peters,Apple’s plan for AI could make Siri the animated center of your smart home,"Apple is developing a bunch of products and features to deliver its vision of AI, including multiple robots, a smart home display, and a revamped version of Siri with new technology powering it, according to an extensive report from Bloomberg. The company’s g…",https://www.theverge.com/news/758931/apple-ai-siri-smart-home-robot-security-camera
Google News,2025-08-20 21:58:03,Emma Roth,Google’s Gemini Live AI assistant will show you what it’s talking about,"Google is bringing a bundle of new features to Gemini Live, its AI assistant that you can have real-time conversations with. Next week, Gemini Live will be able to highlight things directly on your screen while sharing your camera, making it easier for the AI…",https://www.theverge.com/news/763114/google-gemini-live-ai-visual-guidance-speech-update
Google News,2025-08-20 15:49:05,Victoria Song,Fitbit’s AI health coach is the first I might actually be interested in,"I'm not a fan of AI health and fitness features. Not only do they regurgitate Captain Obvious-level summaries of what you just did, but the ""insights"" are so generalized that a Google search is often more helpful. So it was with great skepticism that I walked…",https://www.theverge.com/hands-on/761965/fitbits-ai-health-coach-is-the-first-i-might-actually-be-interested-in
Google News,2025-08-22 21:22:47,Charles Pulliam-Moore,Netflix wants its partners to follow these rules when using gen AI,"Netflix has already faced backlash over the use of AI in What Jennifer Did, director Jenny Popplewell’s 2024 true crime documentary that seemingly used AI-generated images in place of real archival photos.That documentary stood out as a shining example of ge…",https://www.theverge.com/netflix/764433/netflix-gen-ai-production-guidelines
Google News,2025-07-29 18:59:24,Ece Yildirim,The U.S. May Change Strategy in Its Battle With China for AI Dominance,"China’s AI messaging is starting to sound like “AI for all,” but the United States is split on its own tactic.",https://gizmodo.com/the-u-s-may-change-strategy-in-its-battle-with-china-for-ai-dominance-2000636223
Google News,2025-08-13 18:45:32,AJ Dellinger,"Doctors Were Worse at Spotting Cancer After Leaning on AI, Study Finds",AI is not benign.,https://gizmodo.com/doctors-were-worse-at-spotting-cancer-after-leaning-on-ai-study-finds-2000642527
Google News,2025-07-29 09:30:00,Louise Matsakis,The Real Demon Inside ChatGPT,"AI chatbots strip language of its historical and cultural context. Sometimes what looks like a satanic bloodletting ritual may actually be lifted from Warhammer 40,000.",https://www.wired.com/story/chatgpt-devil-worship-llm-training/
