Platform,Time,Author,Title,Description,URL
Google News,2025-08-04 22:32:41,Jay Peters,IGN hit by layoffs as parent company Ziff Davis cuts costs,"Ziff Davis-owned IGN Entertainment has laid off staff, including eight members of the IGN Creators Guild. Those cuts represent 12 percent of the bargaining unit. The layoffs are the latest shift in the turbulent gaming media landscape. Earlier this year, Verg…",https://www.theverge.com/news/718692/ign-entertainment-layoffs-creators-guild-ziff-davis
Google News,2025-08-20 19:59:26,Andrew Webster,Analogue 3D gets yet another delay to later in 2025,"Things just keep going wrong for Analogue’s take on the Nintendo 64. The company announced today that the shipping date for its next console, the Analogue 3D, has been delayed until sometime in Q4 of this year. The announcement comes a little over a month aft…",https://www.theverge.com/news/762883/analogue-3d-delay-q4-2025
Google News,2025-08-18 16:53:18,Ash Parrish,Amazon’s Fallout season two heads to New Vegas,"Prime Video has released new photos from season two of Fallout. Lucy (Ella Purnell), the Ghoul (Walton Goggins), and Maximus (Aaron Moten) return as a trio of Wasteland Wanderers whose adventures will bring them to the post-apocalyptic playground of New Vegas…",https://www.theverge.com/games/760687/fallout-season-two-first-look-prime-video
Google News,2025-08-20 15:18:41,Jay Peters,"Sony is raising PS5 prices, starting tomorrow","Sony is raising the price of all PS5 models by $50 in the US due to a “challenging economic environment,” according to a blog post. The changes will go into effect on Thursday. The new prices are as follows: Developing…",https://www.theverge.com/news/762410/sony-ps5-price-hike-raise-digital-pro
Google News,2025-08-01 18:55:08,Andrew Webster,Why Nintendo didn’t raise the price of the Switch 2 (yet),"Just about every piece of hardware that Nintendo sells is getting a little more expensive in the US - with the exception of the Switch 2. That includes all models of the original Switch, a bunch of accessories, and even a motion-activated alarm clock. The cha…",https://www.theverge.com/nintendo/717611/nintendo-switch-price-increase-risk-safety
Google News,2025-08-06 14:16:02,Emma Roth,A ‘unified’ Disney Plus could be the end of Hulu’s app,"Disney is planning to fully integrate Hulu with Disney Plus, creating a “unified” app experience that will launch next year, the company announced as part of its earnings results on Wednesday. The new app will put all of Hulu’s content into Disney Plus, calli…",https://www.theverge.com/news/719814/disney-hulu-unified-app-launch-2026
Google News,2025-08-21 17:26:39,Andrew Webster,2025 is turning into a good year for long-awaited games,"It actually happened: Silksong, the standalone sequel to Hollow Knight, has a release date. After seven years in development, and almost as many shrouded in silence, the game is coming out on September 4th. It's welcome news for the millions of Hollow Knight …",https://www.theverge.com/games/763698/delayed-games-silksong-metroid-prime-4-2025
Google News,2025-07-30 15:05:50,Andrew Webster,Peacock’s adaptation finally feels like Twisted Metal in season 2,"The first season of Twisted Metal was almost like a prologue. Peacock's adaptation of the long-dormant PlayStation game series spent 10 episodes setting up its car-focused post-apocalyptic world and most of the major characters, all while rattling off a never…",https://www.theverge.com/tv-reviews/715862/twisted-metal-season-2-review-peacock
Google News,2025-08-11 15:44:27,Emma Roth,ESPN will offer a $39.99 bundle with Fox’s live sports streaming service,"ESPN and Fox both launch their live sports streaming services later this month, and now the two companies have announced that you can bundle them at a discount. Starting October 2nd, you can purchase a subscription to ESPN’s standalone streaming service and F…",https://www.theverge.com/news/757483/espn-fox-one-live-sports-streaming-service-bundle
Google News,2025-08-13 20:39:15,Ash Parrish,Stripe apologizes for customer service agents claiming LGTBQ products were banned,"Stripe, a financial services company that acts as a payment processor for millions of businesses including itch.io, has issued an apology following reports that members of its support team told callers the business does not support the sale of LGBTQ content. …",https://www.theverge.com/report/758927/stripe-lgbt-content-statement-itchio-adult-content
