Platform,Time,Author,Title,Description,URL
Google News,2025-07-29 01:14:26,,Ex-Colombian president Álvaro Uribe guilty of witness-tampering,The 73-year-old has become the first Colombian president to be convicted of a crime.,https://www.bbc.com/news/articles/c5ykw9xq8lwo
Google News,2025-08-07 23:54:57,,Serious offenders to be kept in restricted zones under plans,Ministers hope the legislation will give victims of crime more peace of mind.,https://www.bbc.com/news/articles/ce832zyg1vlo
Google News,2025-08-16 13:20:17,,EncroChat selfie led police straight to fugitive,Organised crime gang boss Jamie Rothwell ran his drugs and guns empire from a flat in Barcelona.,https://www.bbc.com/news/articles/cj4w17j2e1ro
Google News,2025-08-22 21:22:47,Charles Pulliam-Moore,Netflix wants its partners to follow these rules when using gen AI,"Netflix has already faced backlash over the use of AI in What Jennifer Did, director Jenny Popplewell’s 2024 true crime documentary that seemingly used AI-generated images in place of real archival photos.That documentary stood out as a shining example of ge…",https://www.theverge.com/netflix/764433/netflix-gen-ai-production-guidelines
Google News,2025-07-31 05:00:15,,'Endless battle': Fighting the crime gangs taking over the High Street,"People say they're terrified of going to the shops, with reports of intimidation and open drug dealing.",https://www.bbc.com/news/articles/ckgevynly99o
Google News,2025-08-26 23:00:52,,Videos show impact of Trump's crackdown in one Washington DC neighbourhood,Residents in Washington's Columbia Heights neighbourhood say there has been a surge in immigration arrests since President Trump's crime crackdown started.,https://www.bbc.com/news/articles/c1le1zpqyzlo
Google News,2025-08-20 13:09:50,Jess Kung,"""Crime, bloodshed, bedlam and squalor.""","On August 11, President Trump announced his intention to ""rescue"" the nation's capital. A central feature of his plan involved using federal officials to remove people experiencing homelessness from the city — people that he listed alongside ""violent gangs, b…",https://www.npr.org/2025/08/20/nx-s1-5502655/crime-bloodshed-bedlam-and-squalor
Google News,2025-08-19 09:29:34,Juliana Kim,D.C.'s crime numbers are all the buzz. But how do we interpret them accurately?,"A range of crime data has been going around to make the argument that Washington, D.C., is — or isn't — safe. We talk to crime experts to make sense of it all.",https://www.npr.org/2025/08/19/nx-s1-5506208/dc-crime-trump-explained
Google News,2025-08-21 22:00:08,Kevin Lynch,How to Watch 'Professor T': Stream Season 4 Anywhere for Free,The hugely popular British crime drama returns with Jasper Tempest tackling grief and romance in between the sleuthing.,https://www.cnet.com/tech/services-and-software/how-to-watch-professor-t-stream-season-4-anywhere-for-free/
Google News,2025-08-12 11:32:09,Brittney Melton,"D.C. residents express concern over crime crackdown. And, Ford invests big in EVs","Washington, D.C., residents express concerns over what Trump's crime crackdown could mean for them. And, Ford plans to invest billions in building a new, cheaper electric truck",https://www.npr.org/2025/08/12/g-s1-82200/up-first-newsletter-washington-dc-crime-crackdown-europe-trump-putin-ford-electric-vehicle-rollout
Google News,2025-08-18 11:16:26,Brittney Melton,"Trump and Zelenskyy to discuss end of war. And, more troops head to D.C.","President Trump will host Ukrainian President Volodymyr Zelenskyy today at the White House. And, more National Guard troops head to Washington, D.C. for the president's crime crackdown.",https://www.npr.org/2025/08/18/g-s1-83248/up-first-newsletter-zelenskyy-trump-meeting-dc-militarized-second-week-israel-hamas
